 Node            Displacements                Applied/reaction forces
number     1-direction     2-direction      1-direction     2-direction
     1     0.000000000     0.000000000      0.056559925     0.013344812
     2     0.000000000     0.000000000      0.065312407    -0.002180805
     3     0.000000000     0.000000000      0.021263154    -0.006164007
     4     0.000000000     0.000000000     -0.021263154    -0.006164007
     5     0.000000000     0.000000000     -0.065312407    -0.002180805
     6     0.000000000     0.000000000     -0.056559925     0.013344812
     7    -0.116664959    -0.056058902      0.000000000     0.000000000
     8    -0.063525836    -0.027031499      0.000000000     0.000000000
     9    -0.020937392    -0.016271529      0.000000000     0.000000000
    10     0.020937392    -0.016271529      0.000000000     0.000000000
    11     0.063525836    -0.027031499      0.000000000     0.000000000
    12     0.116664959    -0.056058902      0.000000000     0.000000000
    13    -0.228596382    -0.130109466      0.000000000     0.000000000
    14    -0.133760062    -0.103167135      0.000000000     0.000000000
    15    -0.043674885    -0.088741282      0.000000000     0.000000000
    16     0.043674885    -0.088741282      0.000000000     0.000000000
    17     0.133760062    -0.103167135      0.000000000     0.000000000
    18     0.228596382    -0.130109466      0.000000000     0.000000000
    19    -0.339587928    -0.248404291      0.000000000     0.000000000
    20    -0.201390717    -0.221694050      0.000000000     0.000000000
    21    -0.066656510    -0.208159110      0.000000000     0.000000000
    22     0.066656510    -0.208159110      0.000000000     0.000000000
    23     0.201390717    -0.221694050      0.000000000     0.000000000
    24     0.339587928    -0.248404291      0.000000000     0.000000000
    25    -0.448939718    -0.410558455      0.000000000     0.000000000
    26    -0.267198287    -0.384548910      0.000000000     0.000000000
    27    -0.088685797    -0.371490990      0.000000000     0.000000000
    28     0.088685797    -0.371490990      0.000000000     0.000000000
    29     0.267198287    -0.384548910      0.000000000     0.000000000
    30     0.448939718    -0.410558455      0.000000000     0.000000000
    31    -0.556063876    -0.616160823      0.000000000     0.000000000
    32    -0.331481144    -0.590729148      0.000000000     0.000000000
    33    -0.110133418    -0.578011365      0.000000000     0.000000000
    34     0.110133418    -0.578011365      0.000000000     0.000000000
    35     0.331481144    -0.590729148      0.000000000     0.000000000
    36     0.556063876    -0.616160823      0.000000000     0.000000000
    37    -0.660842875    -0.864171951      0.000000000     0.000000000
    38    -0.394342407    -0.839309311      0.000000000     0.000000000
    39    -0.131087371    -0.826879014      0.000000000     0.000000000
    40     0.131087371    -0.826879014      0.000000000     0.000000000
    41     0.394342407    -0.839309311      0.000000000     0.000000000
    42     0.660842875    -0.864171951      0.000000000     0.000000000
