 Node            Displacements                Applied/reaction forces
number     1-direction     2-direction      1-direction     2-direction
     1     0.000000000     0.000000000      0.033023991     0.009051985
     2     0.000000000     0.000000000      0.045438490     0.002482475
     3     0.000000000     0.000000000      0.032893709    -0.000148760
     4     0.000000000     0.000000000      0.021794291    -0.001955785
     5     0.000000000     0.000000000      0.010856378    -0.002858131
     6     0.000000000     0.000000000      0.000000000    -0.003143571
     7     0.000000000     0.000000000     -0.010856378    -0.002858131
     8     0.000000000     0.000000000     -0.021794291    -0.001955785
     9     0.000000000     0.000000000     -0.032893709    -0.000148760
    10     0.000000000     0.000000000     -0.045438490     0.002482475
    11     0.000000000     0.000000000     -0.033023991     0.009051985
    12    -0.062957435    -0.031702351      0.000000000     0.000000000
    13    -0.043477955    -0.015752110      0.000000000     0.000000000
    14    -0.031736182    -0.007887504      0.000000000     0.000000000
    15    -0.020817432    -0.003517729      0.000000000     0.000000000
    16    -0.010337788    -0.001220264      0.000000000     0.000000000
    17     0.000000000    -0.000499871      0.000000000     0.000000000
    18     0.010337788    -0.001220264      0.000000000     0.000000000
    19     0.020817432    -0.003517729      0.000000000     0.000000000
    20     0.031736182    -0.007887504      0.000000000     0.000000000
    21     0.043477955    -0.015752110      0.000000000     0.000000000
    22     0.062957435    -0.031702351      0.000000000     0.000000000
    23    -0.119912464    -0.056827550      0.000000000     0.000000000
    24    -0.091408655    -0.041577034      0.000000000     0.000000000
    25    -0.066109476    -0.029750522      0.000000000     0.000000000
    26    -0.043332159    -0.022363313      0.000000000     0.000000000
    27    -0.021472961    -0.018304607      0.000000000     0.000000000
    28     0.000000000    -0.017008831      0.000000000     0.000000000
    29     0.021472961    -0.018304607      0.000000000     0.000000000
    30     0.043332159    -0.022363313      0.000000000     0.000000000
    31     0.066109476    -0.029750522      0.000000000     0.000000000
    32     0.091408655    -0.041577034      0.000000000     0.000000000
    33     0.119912464    -0.056827550      0.000000000     0.000000000
    34    -0.176413530    -0.090469749      0.000000000     0.000000000
    35    -0.138204115    -0.074964474      0.000000000     0.000000000
    36    -0.101529697    -0.062773948      0.000000000     0.000000000
    37    -0.066689926    -0.054159534      0.000000000     0.000000000
    38    -0.033080580    -0.049172108      0.000000000     0.000000000
    39     0.000000000    -0.047543452      0.000000000     0.000000000
    40     0.033080580    -0.049172108      0.000000000     0.000000000
    41     0.066689926    -0.054159534      0.000000000     0.000000000
    42     0.101529697    -0.062773948      0.000000000     0.000000000
    43     0.138204115    -0.074964474      0.000000000     0.000000000
    44     0.176413530    -0.090469749      0.000000000     0.000000000
    45    -0.233054681    -0.134092467      0.000000000     0.000000000
    46    -0.184273933    -0.118698450      0.000000000     0.000000000
    47    -0.136552822    -0.106521172      0.000000000     0.000000000
    48    -0.090153434    -0.097735522      0.000000000     0.000000000
    49    -0.044803744    -0.092457056      0.000000000     0.000000000
    50     0.000000000    -0.090704673      0.000000000     0.000000000
    51     0.044803744    -0.092457056      0.000000000     0.000000000
    52     0.090153434    -0.097735522      0.000000000     0.000000000
    53     0.136552822    -0.106521172      0.000000000     0.000000000
    54     0.184273933    -0.118698450      0.000000000     0.000000000
    55     0.233054681    -0.134092467      0.000000000     0.000000000
    56    -0.289572875    -0.188691884      0.000000000     0.000000000
    57    -0.229818911    -0.173409932      0.000000000     0.000000000
    58    -0.171046361    -0.161393691      0.000000000     0.000000000
    59    -0.113312253    -0.152699234      0.000000000     0.000000000
    60    -0.056424312    -0.147437553      0.000000000     0.000000000
    61     0.000000000    -0.145676391      0.000000000     0.000000000
    62     0.056424312    -0.147437553      0.000000000     0.000000000
    63     0.113312253    -0.152699234      0.000000000     0.000000000
    64     0.171046361    -0.161393691      0.000000000     0.000000000
    65     0.229818911    -0.173409932      0.000000000     0.000000000
    66     0.289572875    -0.188691884      0.000000000     0.000000000
    67    -0.345762416    -0.254473979      0.000000000     0.000000000
    68    -0.274903099    -0.239333380      0.000000000     0.000000000
    69    -0.205049447    -0.227482609      0.000000000     0.000000000
    70    -0.136103450    -0.218940833      0.000000000     0.000000000
    71    -0.067860004    -0.213775306      0.000000000     0.000000000
    72     0.000000000    -0.212046148      0.000000000     0.000000000
    73     0.067860004    -0.213775306      0.000000000     0.000000000
    74     0.136103450    -0.218940833      0.000000000     0.000000000
    75     0.205049447    -0.227482609      0.000000000     0.000000000
    76     0.274903099    -0.239333380      0.000000000     0.000000000
    77     0.345762416    -0.254473979      0.000000000     0.000000000
    78    -0.401489922    -0.331448580      0.000000000     0.000000000
    79    -0.319532884    -0.316459791      0.000000000     0.000000000
    80    -0.238617728    -0.304764097      0.000000000     0.000000000
    81    -0.158554755    -0.296365583      0.000000000     0.000000000
    82    -0.079112509    -0.291300852      0.000000000     0.000000000
    83     0.000000000    -0.289607499      0.000000000     0.000000000
    84     0.079112509    -0.291300852      0.000000000     0.000000000
    85     0.158554755    -0.296365583      0.000000000     0.000000000
    86     0.238617728    -0.304764097      0.000000000     0.000000000
    87     0.319532884    -0.316459791      0.000000000     0.000000000
    88     0.401489922    -0.331448580      0.000000000     0.000000000
    89    -0.456683196    -0.419533169      0.000000000     0.000000000
    90    -0.363701475    -0.404702034      0.000000000     0.000000000
    91    -0.271788203    -0.393149228      0.000000000     0.000000000
    92    -0.180705938    -0.384874571      0.000000000     0.000000000
    93    -0.090203067    -0.379895821      0.000000000     0.000000000
    94     0.000000000    -0.378233364      0.000000000     0.000000000
    95     0.090203067    -0.379895821      0.000000000     0.000000000
    96     0.180705938    -0.384874571      0.000000000     0.000000000
    97     0.271788203    -0.393149228      0.000000000     0.000000000
    98     0.363701475    -0.404702034      0.000000000     0.000000000
    99     0.456683196    -0.419533169      0.000000000     0.000000000
   100    -0.511306029    -0.518615440      0.000000000     0.000000000
   101    -0.407401830    -0.503944350      0.000000000     0.000000000
   102    -0.304581780    -0.492526178      0.000000000     0.000000000
   103    -0.202585852    -0.484359860      0.000000000     0.000000000
   104    -0.101150432    -0.479453275      0.000000000     0.000000000
   105     0.000000000    -0.477816302      0.000000000     0.000000000
   106     0.101150432    -0.479453275      0.000000000     0.000000000
   107     0.202585852    -0.484359860      0.000000000     0.000000000
   108     0.304581780    -0.492526178      0.000000000     0.000000000
   109     0.407401830    -0.503944350      0.000000000     0.000000000
   110     0.511306029    -0.518615440      0.000000000     0.000000000
   111    -0.565341834    -0.628573965      0.000000000     0.000000000
   112    -0.450629286    -0.614063848      0.000000000     0.000000000
   113    -0.337009075    -0.602775488      0.000000000     0.000000000
   114    -0.224211449    -0.594707990      0.000000000     0.000000000
   115    -0.111966544    -0.589864490      0.000000000     0.000000000
   116     0.000000000    -0.588249335      0.000000000     0.000000000
