 Node            Displacements                Applied/reaction forces
number     1-direction     2-direction      1-direction     2-direction
     1     0.000000000     0.000000000      0.000285878     0.000070364
     2     0.000000000     0.000000000      0.000322287    -0.000001835
     3     0.000000000     0.000000000      0.000103747    -0.000018529
     4     0.000000000     0.000000000     -0.000103747    -0.000018529
     5     0.000000000     0.000000000     -0.000322287    -0.000001835
     6     0.000000000     0.000000000     -0.000285878     0.000070364
     7    -0.000584026    -0.000302336      0.000000000     0.000000000
     8    -0.000309630    -0.000160592      0.000000000     0.000000000
     9    -0.000101301    -0.000110253      0.000000000     0.000000000
    10     0.000101301    -0.000110253      0.000000000     0.000000000
    11     0.000309630    -0.000160592      0.000000000     0.000000000
    12     0.000584026    -0.000302336      0.000000000     0.000000000
    13    -0.001127635    -0.000693681      0.000000000     0.000000000
    14    -0.000649007    -0.000564858      0.000000000     0.000000000
    15    -0.000210197    -0.000496145      0.000000000     0.000000000
    16     0.000210197    -0.000496145      0.000000000     0.000000000
    17     0.000649007    -0.000564858      0.000000000     0.000000000
    18     0.001127635    -0.000693681      0.000000000     0.000000000
    19    -0.001653346    -0.001296701      0.000000000     0.000000000
    20    -0.000969329    -0.001171664      0.000000000     0.000000000
    21    -0.000318956    -0.001108319      0.000000000     0.000000000
    22     0.000318956    -0.001108319      0.000000000     0.000000000
    23     0.000969329    -0.001171664      0.000000000     0.000000000
    24     0.001653346    -0.001296701      0.000000000     0.000000000
    25    -0.002158884    -0.002104630      0.000000000     0.000000000
    26    -0.001273649    -0.001985886      0.000000000     0.000000000
    27    -0.000420838    -0.001926247      0.000000000     0.000000000
    28     0.000420838    -0.001926247      0.000000000     0.000000000
    29     0.001273649    -0.001985886      0.000000000     0.000000000
    30     0.002158884    -0.002104630      0.000000000     0.000000000
    31    -0.002641515    -0.003110897      0.000000000     0.000000000
    32    -0.001563287    -0.002997864      0.000000000     0.000000000
    33    -0.000517487    -0.002941335      0.000000000     0.000000000
    34     0.000517487    -0.002941335      0.000000000     0.000000000
    35     0.001563287    -0.002997864      0.000000000     0.000000000
    36     0.002641515    -0.003110897      0.000000000     0.000000000
    37    -0.003100659    -0.004305654      0.000000000     0.000000000
    38    -0.001838747    -0.004198292      0.000000000     0.000000000
    39    -0.000609310    -0.004144615      0.000000000     0.000000000
    40     0.000609310    -0.004144615      0.000000000     0.000000000
    41     0.001838747    -0.004198292      0.000000000     0.000000000
