 Node            Displacements                Applied/reaction forces
number     1-direction     2-direction      1-direction     2-direction
     1     0.000000000     0.000000000      4.827527382     1.313938253
     2     0.000000000     0.000000000      5.547927903     0.388409336
     3     0.000000000     0.000000000      2.600439299     0.156887221
     4     0.000000000     0.000000000     -0.013986652     0.054669530
     5     0.000000000     0.000000000     -2.627455307     0.133793798
     6     0.000000000     0.000000000     -5.559678676     0.343418561
     7     0.000000000     0.000000000     -4.774773949     1.296383177
     8    -0.012637286    -0.007534559      0.000000000    -0.124999875
     9    -0.006971431    -0.004427029      0.000000000     0.000000000
    10    -0.003338368    -0.003243453      0.000000000     0.000000000
    11     0.000005421    -0.002899383      0.000000000     0.000000000
    12     0.003345452    -0.003167175      0.000000000     0.000000000
    13     0.006966097    -0.004256912      0.000000000     0.000000000
    14     0.012524357    -0.007205934      0.000000000     0.000000000
    15    -0.023623066    -0.015709344      0.000000000    -0.124999875
    16    -0.014567316    -0.012924973      0.000000000     0.000000000
    17    -0.006918124    -0.011169746      0.000000000     0.000000000
    18    -0.000009600    -0.010591810      0.000000000     0.000000000
    19     0.006891408    -0.011035853      0.000000000     0.000000000
    20     0.014505191    -0.012640089      0.000000000     0.000000000
    21     0.023490718    -0.015269155      0.000000000     0.000000000
    22    -0.033871532    -0.027132726      0.000000000    -0.125000250
    23    -0.021587228    -0.024469563      0.000000000     0.000000000
    24    -0.010482869    -0.022803618      0.000000000     0.000000000
    25    -0.000036345    -0.022178746      0.000000000     0.000000000
    26     0.010400222    -0.022640826      0.000000000     0.000000000
    27     0.021475813    -0.024142392      0.000000000     0.000000000
    28     0.033724348    -0.026643697      0.000000000     0.000000000
    29    -0.043469119    -0.041693116      0.000000000    -0.124999875
    30    -0.028078836    -0.039217707      0.000000000     0.000000000
    31    -0.013783570    -0.037667150      0.000000000     0.000000000
    32    -0.000066876    -0.037087464      0.000000000     0.000000000
    33     0.013642808    -0.037495977      0.000000000     0.000000000
    34     0.027920458    -0.038877647      0.000000000     0.000000000
    35     0.043295186    -0.041188915      0.000000000     0.000000000
    36    -0.052389165    -0.059268955      0.000000000    -0.124999875
    37    -0.034082266    -0.056968143      0.000000000     0.000000000
    38    -0.016822402    -0.055534326      0.000000000     0.000000000
    39    -0.000096438    -0.054994474      0.000000000     0.000000000
    40     0.016625570    -0.055362547      0.000000000     0.000000000
    41     0.033876510    -0.056627158      0.000000000     0.000000000
    42     0.052177990    -0.058762278      0.000000000     0.000000000
    43    -0.060636010    -0.079637252      0.000000000    -0.125001375
    44    -0.039625908    -0.077505100      0.000000000     0.000000000
    45    -0.019622123    -0.076175989      0.000000000     0.000000000
    46    -0.000124245    -0.075673164      0.000000000     0.000000000
    47     0.019371768    -0.076005764      0.000000000     0.000000000
    48     0.039371756    -0.077166411      0.000000000     0.000000000
    49     0.060380759    -0.079132175      0.000000000     0.000000000
    50    -0.068228332    -0.102576145      0.000000000    -0.124998750
    51    -0.044730946    -0.100605094      0.000000000     0.000000000
    52    -0.022199157    -0.099373962      0.000000000     0.000000000
    53    -0.000150677    -0.098904704      0.000000000     0.000000000
    54     0.021897076    -0.099205304      0.000000000     0.000000000
    55     0.044427609    -0.100268755      0.000000000     0.000000000
    56     0.067925340    -0.102073148      0.000000000     0.000000000
    57    -0.075190670    -0.127867925      0.000000000    -0.124998750
    58    -0.049415666    -0.126051073      0.000000000     0.000000000
    59    -0.024564959    -0.124912828      0.000000000     0.000000000
    60    -0.000176291    -0.124475037      0.000000000     0.000000000
    61     0.024212177    -0.124745222      0.000000000     0.000000000
    62     0.049062679    -0.125716317      0.000000000     0.000000000
    63     0.074838275    -0.127366441      0.000000000     0.000000000
    64    -0.081550581    -0.155309586      0.000000000    -0.125002500
    65    -0.053698826    -0.153640065      0.000000000     0.000000000
    66    -0.026729650    -0.152590349      0.000000000     0.000000000
    67    -0.000201498    -0.152182305      0.000000000     0.000000000
